date,what-is-eu,what-is-brexit,what-is-article-50,what-is-single-market,is-sweden-in-the-eu,is-russia-in-the-eu
2016-01-03,4,0.5,0,0.5,5,3
2016-01-10,3,0.5,0,0.5,5,7
2016-01-17,4,0.5,0,0,5,5
2016-01-24,4,0.5,0,0.5,7,3
2016-01-31,5,0.5,0,0,5,6
2016-02-07,5,1,0,0.5,6,3
2016-02-14,8,1,0.5,0.5,9,14
2016-02-21,13,5,0.5,0.5,9,9
2016-02-28,6,3,0,0.5,7,9
2016-03-06,6,2,0,0.5,5,9
2016-03-13,6,1,0,0.5,5,6
2016-03-20,5,2,0,0.5,8,3
2016-03-27,4,2,0,0.5,0,6
2016-04-03,5,1,0,0,3,6
2016-04-10,6,1,0,0.5,6,3
2016-04-17,8,2,0.5,0.5,3,9
2016-04-24,8,2,0,0.5,6,8
2016-05-01,8,1,0,0.5,7,9
2016-05-08,9,3,0,0.5,11,16
2016-05-15,9,3,0,0.5,12,9
2016-05-22,13,6,0,0.5,11,12
2016-05-29,12,5,0.5,1,13,27
2016-06-05,22,8,0.5,1,13,4
2016-06-12,17,10,0.5,1,12,18
2016-06-19,100,52,19,3,13,4
2016-06-26,31,26,16,12,14,4
2016-07-03,7,8,2,1,9,3
2016-07-10,6,6,2,1,6,8
2016-07-17,4,4,1,1,9,12
2016-07-24,4,2,0.5,0.5,4,3
2016-07-31,4,3,0.5,0.5,4,0
2016-08-07,3,2,0.5,0.5,3,7
2016-08-14,2,2,0.5,0,0,7
2016-08-21,3,1,0.5,0.5,5,3
2016-08-28,3,1,0.5,0.5,3,8
2016-09-04,3,2,0.5,0.5,6,0
2016-09-11,4,1,0.5,0.5,8,3
2016-09-18,3,1,0.5,0.5,5,3
2016-09-25,4,2,0.5,0.5,3,6
2016-10-02,4,3,1,1,2,3
2016-10-09,4,5,1,1,4,5
2016-10-16,5,3,0.5,1,2,3
2016-10-23,4,2,0.5,1,3,6
2016-10-30,4,4,4,0.5,4,6
2016-11-06,5,5,1,0.5,2,9
2016-11-13,5,3,0.5,1,6,6
2016-11-20,5,2,0.5,1,8,6
2016-11-27,5,3,0.5,1,5,9
2016-12-04,5,3,1,1,9,6
2016-12-11,4,2,0.5,0.5,7,5
2016-12-18,3,2,0.5,0.5,4,3
2016-12-25,3,1,0.5,0.5,4,5